10000;20000;30000;40000;50000;60000;70000;80000;90000;100000
208;83;1250;958;292;541;1083;417;84;84
125;84;83;125;125;167;125;125;84;84
166;125;83;83;125;125;125;125;83;83
125;125;125;83;125;125;125;83;83;125
125;84;83;125;125;84;83;125;125;125
208;125;83;83;125;125;125;125;84;83
208;958;333;291;125;83;84;125;84;125
250;125;83;84;125;83;125;83;83;125
84;83;83;84;125;125;83;125;83;83
125;83;125;208;125;125;125;125;125;125
83;833;333;333;125;125;125;83;83;83
125;125;84;83;125;125;125;83;84;83
167;125;83;83;125;83;125;125;83;125
125;125;125;125;83;292;208;125;917;459
125;125;83;83;84;958;1292;292;625;334
209;84;84;84;125;83;125;125;125;83
125;84;84;84;125;125;250;125;125;125
125;84;416;84;84;84;125;125;84;84
167;125;83;167;250;83;125;84;125;125
84;83;83;84;125;125;83;84;125;125
125;125;83;125;125;84;125;83;83;125
84;83;84;125;83;83;83;125;125;84
125;125;84;83;83;84;125;83;83;209
125;84;125;83;84;83;83;83;84;84
125;83;83;83;83;125;125;500;125;84
125;125;84;125;125;125;125;83;125;125
208;166;1042;167;83;125;125;125;125;84
125;125;83;83;83;125;125;1000;333;250
208;125;125;83;125;125;83;417;83;125
83;84;125;84;83;125;84;83;125;125
125;125;125;125;125;125;125;83;125;83
833;125;125;125;125;83;83;125;125;84
125;84;125;166;83;125;2958;166;83;83
125;125;84;125;83;83;84;125;84;84
125;83;83;125;84;83;125;84;83;83
83;125;83;125;84;83;84;125;83;84
83;83;125;83;83;84;125;125;83;83
125;83;84;125;83;83;83;83;83;125
125;83;83;125;84;84;1167;208;83;125
125;84;125;125;83;83;125;125;875;166
167;125;125;84;125;125;166;125;83;125
166;84;125;83;125;84;125;83;125;83
125;83;83;125;125;83;125;83;83;250
84;83;125;167;125;292;917;750;167;83
1000;209;167;83;83;125;83;167;83;209
167;125;84;125;83;83;84;83;125;83
250;125;125;83;83;125;834;125;83;84
1042;250;792;167;166;83;125;125;125;125
166;84;250;167;84;125;84;125;250;125
125;125;83;167;125;125;1000;167;83;167
750;292;125;166;125;834;167;125;709;292
125;250;125;125;83;250;125;125;83;84
209;84;1167;167;125;84;125;125;84;83
250;83;84;83;375;84;667;834;125;83
83;125;84;83;875;333;125;125;125;84
292;167;125;1167;208;125;83;125;875;250
125;84;84;166;83;125;83;125;125;83
166;167;125;84;83;125;125;917;208;84
83;167;83;83;125;83;84;84;84;125
334;125;125;83;125;83;83;125;125;84
125;917;209;83;166;166;84;125;83;125
167;84;875;333;291;833;333;1167;459;250
125;125;83;83;125;84;83;84;84;125
959;417;334;167;84;125;83;83;83;125
83;1125;209;125;83;84;83;125;125;83
84;83;83;125;83;125;84;83;125;125
84;84;83;83;125;167;125;125;83;83
125;125;84;125;83;125;125;83;125;83
83;125;125;83;166;1042;292;167;84;125
125;83;125;125;83;125;167;125;125;125
84;125;84;84;125;83;83;84;125;125
125;84;125;125;83;125;83;84;83;125
83;125;125;125;125;83;83;125;83;125
84;83;83;83;83;84;83;125;125;83
83;125;83;83;84;83;84;84;125;83
83;83;125;125;83;125;83;125;125;83
125;84;83;125;125;84;125;83;125;84
84;125;83;83;83;125;125;83;125;125
83;83;84;84;125;84;125;125;83;83
83;125;125;125;84;208;166;125;125;125
84;83;83;84;83;84;83;83;84;83
125;125;125;84;125;83;83;84;125;125
83;83;84;83;125;83;84;83;83;208
83;83;125;83;83;250;125;83;167;125
83;833;500;333;292;167;125;83;125;125
83;83;125;83;84;125;83;125;125;125
83;83;125;125;84;83;83;84;125;83
125;83;125;83;83;83;83;84;125;84
83;125;83;83;83;792;292;125;83;83
83;83;83;125;84;125;84;84;83;84
125;83;83;125;84;125;125;166;125;84
83;84;83;83;83;83;83;167;125;83
84;83;83;125;83;83;125;125;125;83
166;125;125;1000;333;209;208;84;125;83
125;125;83;125;125;1083;291;167;125;125
250;84;125;83;84;125;84;83;84;125
167;209;125;1375;375;1125;1042;375;84;83
459;83;292;83;125;83;83;84;83;84
84;125;83;84;125;125;84;83;83;125
84;125;83;958;417;416;292;1584;833;167
